Player Name;Name;Surname;Extra;Player Name 2;Number;Number2;Team
Alex Caruso;Alex;Caruso;;A.Caruso;9;;OKC
Dillon Jones;Dillon;Jones;;D.Jones;3;;OKC
Jaylin Williams;Jaylin;Williams;;Jay.Williams;6;;OKC
Ousmane Dieng;Ousmane;Dieng;;O.Dieng;13;;OKC
Adam Flagler;Adam;Flagler;;A.Flagler;14;;OKC
Ajay Mitchell;Ajay;Mitchell;;A.Mitchell;25;;OKC
Chet Holmgren;Chet;Holmgren;;C.Holmgren;7;;OKC
Branden Carlson;Branden;Carlson;;B.Carlson;15;;OKC
Alex Ducas;Alex;Ducas;;A.Ducas;88;;OKC
Nikola Topic;Nikola;Topic;;N.Topic;;;OKC
Anthony Black;Anthony;Black;;A.Black;0;;ORL
Kentavious Caldwell-Pope;Kentavious;Caldwell-Pope;;K.Caldwell-Pope;3;;ORL
Tristan Da Silva;Tristan;Da;Silva;T.Da;23;;ORL
Jonathan Isaac;Jonathan;Isaac;;J.Isaac;1;;ORL
Goga Bitadze;Goga;Bitadze;;G.Bitadze;35;;ORL
Wendell CarterJr;Wendell;Carter;Jr.;W.Carter;34;;ORL
Cole Anthony;Cole;Anthony;;C.Anthony;50;;ORL
Franz Wagner;Franz;Wagner;;F.Wagner;22;;ORL
Jett Howard;Jett;Howard;;J.Howard;13;;ORL
Caleb Houstan;Caleb;Houstan;;C.Houstan;2;;ORL
Cory Joseph;Cory;Joseph;;C.Joseph;10;;ORL
Gary Harris;Gary;Harris;;G.Harris;14;;ORL
Paolo Banchero;Paolo;Banchero;;P.Banchero;5;;ORL
Jalen Suggs;Jalen;Suggs;;J.Suggs;4;;ORL
Trevelin Queen;Trevelin;Queen;;T.Queen;12;;ORL
Moritz Wagner;Moritz;Wagner;;M.Wagner;21;;ORL
Mac McClung;Mac;McClung;;M.McClung;8;;ORL
Ethan Thompson;Ethan;Thompson;;E.Thompson;;;ORL
Ricky Council IV;Ricky;Council;IV;R.Council;14;;PHI
Guerschon Yabusele;Guerschon;Yabusele;;G.Yabusele;28;;PHI
Kelly OubreJr;Kelly;Oubre;Jr.;K.Oubre;9;;PHI
Adem Bona;Adem;Bona;;A.Bona;30;;PHI
Tyrese Maxey;Tyrese;Maxey;;T.Maxey;0;;PHI
Justin Edwards;Justin;Edwards;;J.Edwards;19;;PHI
Paul George;Paul;George;;P.George;8;;PHI
Jeff DowtinJr;Jeff;DowtinJr;;J.DowtinJr;11;;PHI
Andre Drummond;Andre;Drummond;;A.Drummond;1;5;PHI
Eric Gordon;Eric;Gordon;;E.Gordon;23;;PHI
Kyle Lowry;Kyle;Lowry;;K.Lowry;7;;PHI
Quentin Grimes;Quentin;Grimes;;Q.Grimes;5;;PHI
Jared Butler;Jared;Butler;;J.Butler;12;;PHI
Jared McCain;Jared;McCain;;J.McCain;20;;PHI
Lonnie Walker IV;Lonnie;Walker;IV;L.Walker;16;;PHI
Joel Embiid;Joel;Embiid;;J.Embiid;21;;PHI
Alex Reese;Alex;Reese;;A.Reese;65;;PHI
Jalen Hood-Schifino;Jalen;Hood-Schifino;;J.Hood-Schifino;17;;PHI
Isaiah Mobley;Isaiah;Mobley;;I.Mobley;25;;PHI
Tyus Jones;Tyus;Jones;;T.Jones;21;;PHO
