Player Name,Number,Team
Dyson Daniels,11,NOP
Kaiser Gates,12,NOP
Jordan Hawkins,24,NOP
Brandon Ingram,14,NOP
Herbert Jones,5,NOP
Kira Lewis Jr.,13,NOP
E.J. Liddell,32,NOP
Naji Marshall,8,NOP
CJ McCollum,3,NOP
Trey Murphy III,25,NOP
Larry Nance Jr.,22,NOP
Jeremiah Robinson-Earl,50,NOP
Matt Ryan,37,NOP
Dereon Seabron,0,NOP
Jonas Valančiūnas,17,NOP
Zion Williamson,1,NOP
Cody Zeller,40,NOP
Precious Achiuwa,5,NYK
OG Anunoby,8,NYK
Ryan Arcidiacono,51,NYK
RJ Barrett,9,NYK
Bojan Bogdanović,44,NYK
Charlie Brown Jr.,"4, 44",NYK
Jalen Brunson,11,NYK
Alec Burks,18,NYK
Mamadi Diakite,25,NYK
Donte DiVincenzo,0,NYK
Malachi Flynn,4,NYK
Evan Fournier,13,NYK
Taj Gibson,67,NYK
Quentin Grimes,6,NYK
Josh Hart,3,NYK
Isaiah Hartenstein,55,NYK
DaQuan Jeffries,"8, 21",NYK
Miles McBride,2,NYK
Shake Milton,13,NYK
Immanuel Quickley,5,NYK
Julius Randle,30,NYK
Mitchell Robinson,23,NYK
Jericho Sims,45,NYK
Dmytro Skapintsev,14,NYK
Jacob Toppin,00,NYK
Dylan Windler,20,NYK
Dāvis Bertāns,9,OKC
Bismack Biyombo,15,OKC
Ousmane Dieng,13,OKC
Luguentz Dort,5,OKC
Adam Flagler,14,OKC
Josh Giddey,3,OKC
Shai Gilgeous-Alexander,2,OKC
Gordon Hayward,33,OKC
Chet Holmgren,7,OKC
Isaiah Joe,11,OKC
Keyontae Johnson,18,OKC
Tre Mann,23,OKC
Vasilije Micić,29,OKC
Mike Muscala,50,OKC
Aleksej Pokusevski,17,OKC
Olivier Sarr,30,OKC
Cason Wallace,22,OKC
Lindy Waters III,12,OKC
Aaron Wiggins,21,OKC
Jalen Williams,8,OKC
Jaylin Williams,6,OKC
Kenrich Williams,34,OKC
Cole Anthony,50,ORL
Paolo Banchero,5,ORL
Goga Bitadze,35,ORL
Anthony Black,0,ORL
Wendell Carter Jr.,34,ORL
Markelle Fultz,20,ORL
Gary Harris,14,ORL
Kevon Harris,8,ORL
Caleb Houstan,2,ORL
Jett Howard,13,ORL
Joe Ingles,7,ORL
Jonathan Isaac,1,ORL
Chuma Okeke,3,ORL
Trevelin Queen,12,ORL
Admiral Schofield,25,ORL
Jalen Suggs,4,ORL
Franz Wagner,22,ORL
Moritz Wagner,21,ORL
Mo Bamba,"5, 7",PHI
Nicolas Batum,40,PHI
Darius Bazley,25,PHI
Patrick Beverley,22,PHI
Ricky Council IV,16,PHI
Robert Covington,33,PHI
Jeff Dowtin Jr.,11,PHI
Joel Embiid,21,PHI
Danny Green,14,PHI
Tobias Harris,12,PHI
Buddy Hield,17,PHI
Danuel House Jr.,25,PHI
Furkan Korkmaz,30,PHI
Kenneth Lofton Jr.,35,PHI
Kyle Lowry,7,PHI
KJ Martin,1,PHI
Tyrese Maxey,0,PHI
De'Anthony Melton,8,PHI
Marcus Morris,5,PHI
Kelly Oubre Jr.,9,PHI
Cameron Payne,22,PHI
Filip Petrušev,33,PHI
Paul Reed,44,PHI
Javonte Smart,39,PHI
Terquavion Smith,23,PHI
Jaden Springer,11,PHI
P.J. Tucker,17,PHI
D.J. Wilson,20,PHI
Grayson Allen,8,PHO
Udoka Azubuike,27,PHO
Keita Bates-Diop,21,PHO
Bradley Beal,3,PHO
Bol Bol,11,PHO
Devin Booker,1,PHO
Kevin Durant,35,PHO
Drew Eubanks,14,PHO
Jordan Goodwin,0,PHO
Eric Gordon,23,PHO
Saben Lee,38,PHO
Nassir Little,25,PHO
Théo Maledon,12,PHO
Chimezie Metu,4,PHO
Jusuf Nurkić,20,PHO
Royce O'Neale,00,PHO
Josh Okogie,2,PHO
David Roddy,21,PHO
Isaiah Thomas,4,PHO
Ish Wainright,12,PHO
Yuta Watanabe,18,PHO
Thaddeus Young,30,PHO
Deandre Ayton,2,POR
Ibou Badji,41,POR
Dalano Banton,5,POR
Jamaree Bouyea,21,POR
